,UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,BEZIRKSFLA,BEZIRK_TEI,NAME,KANTONSNUM,ICC,EINWOHNERZ
75,{ED161ED2-A5AB-4615-8EAD-291451364812},20191106080428,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2019,6,Bezirk,2107,,2019_Aufbau,14562.0,0,Riviera,21,CH,10335.0
76,{7D167E39-6148-41DA-B273-44DC14F0BF6B},20151209151017,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1904,,2019_Aufbau,14511.0,0,Brugg,19,CH,50874.0
77,{DC22227E-01FC-4E19-811C-2F26709CF36D},20181122134130,20121026122134,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,1728,,2019_Aufbau,14524.0,1,Wil,17,CH,75594.0
78,{81700B40-6BB8-4743-91D4-51E36EED2CB8},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1910,,2019_Aufbau,14201.0,0,Zofingen,19,CH,71780.0
79,{82A70428-881B-4952-B622-382C656B9363},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1304,,2019_Aufbau,14104.0,0,Sissach,13,CH,35783.0
80,{A09F60A3-EEBF-4CA7-86F4-490E789D2EE9},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,2226,7.0,2019_Aufbau,14009.0,0,Lavaux-Oron,22,CH,62329.0
81,{C49A4C5E-5995-4705-85ED-10E5297A0A1C},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1102,,2019_Aufbau,13939.0,0,Thal,11,CH,14712.0
82,{884FB875-58EF-49CD-BA4C-AF517FA52A5E},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1908,,2019_Aufbau,13895.0,0,Muri,19,CH,36252.0
83,{DDC5627A-DE50-4B91-9596-21BEBA648201},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1723,,2019_Aufbau,13894.0,0,Rheintal,17,CH,73094.0
84,{4F1799F6-E642-446A-9EC0-726AE62FF111},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2014,,2019_Aufbau,13819.0,0,Münchwilen,20,CH,47325.0
85,{A8E647F1-8045-4B21-9531-BC098A3247F1},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1501,,2019_Aufbau,13616.0,0,Hinterland,15,CH,24393.0
86,{8E1166D0-E7EC-4A51-8F03-13EB1FF78C69},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1007,,2019_Aufbau,13430.0,0,La Veveyse,10,CH,18831.0
87,{6A0B841D-2D3E-41F1-AD34-851EADE322FD},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,2312,,2019_Aufbau,13066.0,0,Sion,23,CH,47753.0
88,{6C00AB06-4F8D-48E7-8EE6-A4F8CCFD30B1},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1911,,2019_Aufbau,13001.0,0,Zurzach,19,CH,34418.0
89,{D65C7BA9-F6E7-4420-90C5-7D8F32906AC3},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2013,13.0,2019_Aufbau,12930.0,0,Kreuzlingen,20,CH,48345.0
90,{C2FFECB8-C64A-4BF2-BA0A-AE6FE28D2750},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1001,5522.0,2019_Aufbau,22781.0,1,La Broye,10,CH,32894.0
91,{CBA169F2-66DE-4B44-AD4E-11D74D93470D},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2309,,2019_Aufbau,,2,Raron,23,CH,"11,095"
92,{43B0F369-FA20-4D56-8D51-871F393BEC12},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,109,0.0,2019_Aufbau,11223.0,0,Uster,1,CH,131702.0
93,{73992DBD-EC5B-4625-8C38-0B2ED953C8F1},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1903,,2019_Aufbau,11747.0,0,Bremgarten,19,CH,77368.0
94,{85B7EFE7-945D-4E96-9177-D8151DEF8BBD},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1107,,2019_Aufbau,11717.0,0,Lebern,11,CH,45870.0
95,{91EF8978-0898-4F4C-BEC3-95DA4163BB2E},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,101,,2019_Aufbau,11303.0,0,Affoltern,1,CH,54619.0
96,{D3C74CC0-3D1A-44C6-8AA0-5945C7E1FD60},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1909,,2019_Aufbau,11186.0,0,Rheinfelden,19,CH,47920.0
97,{458CB2DA-9767-44A7-8470-D7B782587F14},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,501,1081.0,2019_Aufbau,10974.0,0,Einsiedeln,5,CH,15870.0
98,{4E245737-B0A7-4031-82A3-9AC6CAB6E0AE},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1305,,2019_Aufbau,10499.0,0,Waldenburg,13,CH,15965.0
99,{A06C1A22-21CF-417E-9924-F7C8F2D20F1F},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1901,,2019_Aufbau,10449.0,0,Aarau,19,CH,78305.0
100,{A1E4939C-BEBB-469A-8FD7-CF34527410C5},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,106,0.0,2019_Aufbau,10424.0,0,Horgen,1,CH,124801.0
101,{FD09527D-2CEF-4E12-AFF8-83D95223FEFD},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1907,464.0,2019_Aufbau,10274.0,0,Lenzburg,19,CH,63028.0
102,{CBCE99DD-D6DE-4F8D-9200-76005F30E15E},20181122134129,20121026122134,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,2106,196.0,2019_Aufbau,10271.0,0,Mendrisio,21,CH,50865.0
103,{93181710-48C6-4702-B995-FAEF7D238C72},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1905,406.0,2019_Aufbau,10133.0,0,Kulm,19,CH,41581.0
104,{F45162DA-95A9-4B5E-820D-506EEA6E8865},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,242,2.0,2019_Aufbau,9759.0,1,Biel/Bienne,2,CH,101313.0
105,{C662BD5E-3A37-41D7-908C-A19D7E78B2B8},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1301,,2019_Aufbau,9622.0,0,Arlesheim,13,CH,155854.0
106,{CD98424A-CCD5-473E-96D5-D4F38CBD5738},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1403,,2019_Aufbau,10573.0,1,Schaffhausen,14,CH,54691.0
107,{69706755-DBB7-45D4-A424-5B9EC36F4D33},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,112,395.0,2019_Aufbau,9188.0,0,Zürich,1,CH,415367.0
108,{AC4BB861-A2B6-40B8-86D0-B5BBA9F45F5A},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2011,20.0,2019_Aufbau,8927.0,1,Arbon,20,CH,56638.0
109,{F171B8C8-FCF7-4137-8B58-9C96EF51EDA1},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1110,,2019_Aufbau,10227.0,1,Thierstein,11,CH,14640.0
110,{4340BC40-345B-4CB8-AEC3-FAE30A443EE5},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1303,,2019_Aufbau,8586.0,0,Liestal,13,CH,60618.0
111,{CC33E93B-74FE-44BF-9005-E76A245AB8B9},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,107,0.0,2019_Aufbau,8462.0,0,Meilen,1,CH,104412.0
112,{F4488D80-6E9A-4A3D-8514-0022A9D982E4},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1302,,2019_Aufbau,8956.0,1,Laufen,13,CH,19912.0
113,{E021F3AC-189D-4BC2-923F-02B14F150BB7},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1108,,2019_Aufbau,8057.0,0,Olten,11,CH,55372.0
114,{201D77DF-45B2-4C49-9750-9823978ADAB4},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1001,,2019_Aufbau,,2,La Broye,10,CH,"33,901"
115,{292B02D0-EBB1-4BBE-A5C3-8424FDDB784B},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1106,,2019_Aufbau,7667.0,1,Wasseramt,11,CH,51537.0
116,{238770AF-3360-444D-9E19-EB0281763BB5},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1105,,2019_Aufbau,6867.0,0,Gösgen,11,CH,24441.0
117,{A7A21B73-6FFE-4FBF-A635-6E2B961F3072},20181122134129,20121026122135,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,2225,9.0,2019_Aufbau,6523.0,0,Lausanne,22,CH,166367.0
118,{97E3E2AC-A4E8-4A46-B52F-D6458295CBB5},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1103,,2019_Aufbau,6268.0,0,Bucheggberg,11,CH,7921.0
